	CH573701	CH573801	CH573901	CH574001	CH574101	CH574401	CH574601	CH574801	CH575001	CH575101	CH575201	CH575301	CH575401	CH576201	CH576301	CH576401	CH576501	CH576601	CH576701	CH576711
ENSG00000000003	4561	4966	3241	2497	2642	4961	4380	3541	2391	1971	708	1981	4149	2505	2972	1600	5242	2479	3378	6265
ENSG00000000005	1	12	5	1	1	1	0	5	2	1	0	2	5	0	46	2	0	1	30	41
ENSG00000000419	1039	1475	1104	793	1040	1706	1425	1091	812	831	1286	1056	1967	1469	1307	595	1283	1542	1345	2129
ENSG00000000460	150	278	257	223	170	295	258	202	200	300	385	227	591	244	165	99	249	228	168	377
ENSG00000000938	144	706	153	80	58	397	133	127	160	315	164	188	620	224	192	68	143	200	115	445
ENSG00000000971	337	2380	1462	426	308	895	1638	707	671	1568	700	588	2775	1246	1990	536	648	1394	306	6729
ENSG00000001036	5137	4514	3443	2600	4065	6144	3969	4267	3177	1994	5490	2694	5186	2508	2216	1365	2982	4432	6025	3667
ENSG00000001084	2412	2649	2656	1368	1077	2829	2931	3053	1824	2475	2006	2952	3751	2350	3442	1084	2278	2859	5161	6500
ENSG00000001167	2410	2772	1670	1017	1855	4372	3234	1812	1839	3229	3394	3676	4531	2264	1993	1334	3293	3352	2094	3658
ENSG00000001460	1247	408	322	306	424	845	668	546	348	203	443	429	1047	439	392	210	614	571	609	1193
ENSG00000001461	17756	4520	3950	5111	1509	8560	16052	8699	4934	7822	4274	3256	5430	7536	5629	1959	3035	14190	12953	25182
ENSG00000001497	1958	2243	1839	1330	2111	3973	2405	1860	1740	1785	2998	1590	4857	1676	1561	975	2168	2202	1826	3003
ENSG00000001561	4285	3826	3087	3031	3993	4582	3421	4178	2008	1764	3440	5420	5790	2612	4449	2041	5901	5575	3728	3571
ENSG00000001617	4188	4967	1793	413	827	4333	4464	5511	3141	1434	884	1388	5439	3432	3171	840	1943	2100	2163	7764
ENSG00000001626	93	4669	354	335	133	705	1340	220	305	8	18	452	582	2570	551	835	1329	992	28	2321
ENSG00000001629	2292	3845	3191	1560	1707	3516	3982	2892	2225	3750	5111	2827	5801	3168	2302	1807	5396	4802	2707	4666
ENSG00000001630	7005	3853	4201	3819	4144	7785	6084	4597	3684	4101	7554	3125	9462	4210	5896	1966	4183	8090	7288	10197
ENSG00000001631	1027	1913	1758	976	1226	1940	1873	1459	1006	1682	2268	2049	2465	1630	1343	816	2216	2365	1268	2348
ENSG00000002016	317	386	287	245	244	238	604	369	110	196	590	387	591	359	238	145	464	375	288	741
ENSG00000002079	0	2	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	3
ENSG00000002330	3139	2194	1794	1807	1788	7036	2296	1492	1193	1407	2102	1505	6112	1277	1268	854	2187	2697	2312	2514
ENSG00000002586	13315	14079	6541	4365	3757	21225	9673	4381	4210	4728	8673	4555	23929	4083	6264	2214	8470	6748	18950	18281
ENSG00000002587	2793	698	306	90	162	833	223	170	308	807	94	436	492	442	423	129	270	342	154	722
ENSG00000002726	4685	52	213	3468	214	978	3686	142	108	19	7	18	643	202	90	68	267	8807	23	1003
ENSG00000002745	10	86	42	10	6	5	16	13	15	33	2	7	5	22	13	20	5	19	8	52
ENSG00000002746	5	67	57	37	6	102	59	25	60	251	15	14	29	93	126	7	14	38	9	106
ENSG00000002822	1236	1031	931	520	716	1793	1028	1158	594	679	1209	658	2383	790	632	385	1089	1044	1108	1398
ENSG00000002834	7083	7454	4185	3174	4014	12971	7226	5325	4248	4760	7424	6120	11138	4587	5408	1966	6371	10154	4325	12701
ENSG00000002919	1421	1077	946	576	661	1832	1193	1194	901	772	1315	819	2332	1077	902	508	977	1499	1444	1910
ENSG00000002933	181	1022	207	261	166	357	270	108	210	567	217	115	890	490	268	66	139	358	96	232
ENSG00000003056	6045	7260	4692	3481	5629	5876	7024	4691	3166	3294	5379	5122	10633	6291	4822	2994	6736	4175	4688	12279
ENSG00000003096	457	498	357	208	301	218	605	286	156	199	195	287	275	556	693	231	258	463	330	1615
ENSG00000003137	119	190	203	71	168	181	163	170	83	134	29	73	625	77	93	111	174	285	80	6786
ENSG00000003147	4208	3925	3683	3175	3997	6246	3761	3515	2478	961	4348	5146	4884	2320	1954	1639	5181	3723	3563	3201
ENSG00000003249	2323	1330	629	1811	1144	3242	1723	1689	1232	509	4476	589	3966	1179	467	538	2390	2778	2468	918
ENSG00000003393	925	1719	1580	792	842	2251	1923	1338	1064	1444	2025	1993	3027	1843	1125	799	1994	1842	1143	2328
ENSG00000003400	261	562	319	89	78	422	275	248	339	706	231	461	2063	325	574	99	190	891	139	1100
ENSG00000003402	1856	3391	2156	845	866	3381	2307	1733	1747	2724	2390	2772	6528	2547	1921	893	1897	3048	1923	3379
ENSG00000003436	202	863	613	763	108	328	303	234	292	633	366	276	963	565	692	142	339	598	314	611
ENSG00000003509	319	612	430	333	411	709	607	424	321	462	509	365	917	346	396	214	552	535	465	740
ENSG00000003756	3720	5916	4305	4426	2362	9800	9305	5715	4227	5750	6478	3139	11780	5187	4293	2590	6425	6774	4601	11322
ENSG00000003987	80	75	46	44	15	77	87	48	42	38	460	45	56	66	73	26	34	57	61	145
ENSG00000003989	8030	10474	2941	4965	3063	3461	5978	5386	4337	3353	25332	5426	2265	3455	8159	3174	3212	3072	6852	5769
